"","X13_Trophic.lvl_2.2.5","X13_Trophic.lvl_2.6.3.5","X13_Trophic.lvl_3.6.4.5","X13_Trophic.lvl_4.6.5","X14_Feeding.type_grazing","X14_Feeding.type_ambusher","X14_Feeding.type_active.predator","X15_Diet_herbivore","X15_Diet_zoobenthivore","X15_Diet_detritus","X15_Diet_omnivore","X15_Diet_zooplankton","X15_Diet_piscivore","X17_Spawning.habitat_pelagic","X17_Spawning.habitat_benthic","X5_Max.length_20cm","X5_Max.length_20.50cm","X5_Max.length_50.100cm","X5_Max.length_100cm","X16_Spawning.period_spring","X16_Spawning.period_summer","X16_Spawning.period_autumn","X16_Spawning.period_winter"
"Angu ang",0,0.5,0.5,0,0.680851064,0,0.319148936,0,0.531914894,0,0,0.14893617,0.319148936,1,0,0,0.875,0.125,0,0.692307692,0.153846154,0,0.153846154
"Arge sph",0.1026,0.6032,0.2816,0.0126,0.8,0,0.2,0,0.6,0,0,0.2,0.2,1,0,1,0,0,0,0.666666667,0,0,0.333333333
"Aris fol",0.0175,0.368167,0.538933,0.0754,0.767857143,0,0.232142857,0.008928571,0.526785714,0.053571429,0,0.178571429,0.232142857,0,1,0.995359629,0.004640371,0,0,0.2,0.6,0.2,0
"Aris ant",0.0754,0.5961,0.3201,0.0084,1,0,0,0,0.8125,0,0,0.1875,0,0,1,1,0,0,0,0.333333333,0.666666667,0,0
"Arno lat",0.021,0.5476,0.4146,0.0168,0.875,0,0.125,0,0.875,0,0,0,0.125,1,0,1,0,0,0,0.4,0.6,0,0
"Boop boo",0.0105,0.9685,0.021,0,0.777777778,0,0.222222222,0.111111111,0.222222222,0,0,0.666666667,0,1,0,0.915343915,0.084656085,0,0,0.434782609,0.304347826,0.086956522,0.173913043
"Both pod",0.00525,0.5805,0.409,0.00525,1,0,0,0,0.9375,0,0,0.0625,0,1,0,1,0,0,0,0.142857143,0.714285714,0.142857143,0
"Call mac",0.055,0.6165,0.32325,0.00525,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.333333333,0.5,0.166666667,0
"Call ris",0.021,0.73625,0.24275,0,1,0,0,0,0.833333333,0,0,0.166666667,0,1,0,1,0,0,0,0.333333333,0.5,0.166666667,0
"Cent gra",0,0.089,0.788,0.123,0,0,1,0,0,0,0,0,1,1,0,0,0.166666667,0.833333333,0,0.166666667,0.166666667,0.5,0.166666667
