"","aa","year_haul","year","haul","Depth","Depth_cat","sh_lon","sh_lat","Area","Bottom.type","Bottom.type.new","Bottom.temperature...C.","Angu ang","Arge sph","Aris fol","Aris ant","Arno lat","Boop boo","Both pod","Call mac","Call ris","Cent gra","Chel cuc","Chro chr","Cong con","Cori jul","Dasy pas","Dent gib","Dent mac","Dent mar","Dipl ann","Dipl pun","Dipl vul","Eled cir","Eled mos","Engr enc","Epin aen","Etmo spi","Eutr gur","Gale mel","Gobi nig","Heli dac","Hopl med","Ille coi","Labr mer","Lepi cau","Lepi bos","Lepi cav","Lepi die","Lith mor","Loli for","Loli vul","Loph bud","Merl mer","Micr pou","Mull bar","Mull sur","Mura hel","Must mus","Myli aqu","Neph nor","Octo vul","Page aca","Page bog","Page ery","Phyc ble","Phyc phy","Poly ame","Pter bov","Raja ast","Raja cla","Raja mir","Sard pil","Sard aur","Scom sco","Scor not","Scor por","Scyl can","Sepi ele","Sepi off","Sepi orb","Serr cab","Serr hep","Serr scr","Siga lur","Siga riv","Sole sol","Sole mem","Spar cre","Spar aur","Sphy chr","Sphy sph","Spic fle","Spic mae","Spic sma","Spon can","Squa aca","Squa bla","Squi man","Step dia","Symp cin","Symp ros","Symp tin","Syng acu","Syng typ","Syno sau","Torp mar","Torp nob","Torp tor","Trac dra","Trac rad","Trac med","Trac tra","Trig luc","Trig las","Tris min","Upen mol","Upen por","Uran sca","Zeus fab"
"1",1,12001,2001,1,230,"201-500",24.96416667,36.84883333,"SouAeg","Mud","Soft",NA,NA,-1.10469580742611,NA,NA,NA,NA,NA,NA,NA,NA,-0.147871907636005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967111131899834,NA,NA,NA,NA,NA,NA,NA,1.9252269034818,NA,-0.57557594362721,NA,NA,-0.855677292909751,NA,NA,NA,NA,NA,-1.50721096747315,-0.46595051724962,NA,NA,-2.01929012448859,NA,NA,NA,NA,0.394459310582158,NA,NA,NA,0.338287636620671,NA,NA,NA,NA,0.0953790314946719,NA,NA,NA,NA,NA,NA,0.12383411551506,NA,NA,0.330131863303763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902105311997825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.270148536374251,NA,NA,NA,NA,NA,NA,NA
"2",2,12003,2003,1,233,"201-500",24.962,36.84466667,"SouAeg","Mud","Soft",NA,NA,-0.0904829050634981,NA,NA,NA,NA,NA,NA,NA,NA,-1.01012111251709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.890169186183262,NA,NA,NA,NA,NA,NA,NA,-0.358887533131724,NA,-1.50005803995268,NA,NA,-0.540327289936882,NA,NA,NA,-0.892786281683987,NA,1.57059537390917,0.747685411575229,NA,NA,0.347466265598463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.577194453630836,NA,NA,NA,NA,NA,NA,0.828000912053823,NA,NA,-0.0528018674460944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29962480551244,NA,-1.34194150244729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.765109627607001,NA,NA,NA,NA,NA,NA,-0.285578000841204
"3",3,12004,2004,1,235,"201-500",24.95716667,36.84116667,"SouAeg","Mud","Soft",NA,NA,0.232548124145032,NA,NA,NA,NA,NA,NA,NA,NA,0.259566144130937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.149567940753365,NA,NA,NA,NA,NA,NA,NA,0.892385248033227,NA,1.13821855588751,NA,1.19128521515104,0.681239694687992,NA,NA,NA,1.54997227947622,NA,-0.309835149252543,-0.66400665947869,NA,NA,0.35205763510059,NA,NA,NA,NA,1.11642531163146,NA,NA,NA,NA,NA,NA,NA,NA,0.966034181185145,NA,NA,NA,NA,NA,NA,-0.921139734072466,NA,NA,0.379089555089915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.395027605258129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152431984779133,NA,NA,NA,NA,NA,NA,0.510349939817846
"4",4,12005,2005,1,233,"201-500",24.96116667,36.84433333,"SouAeg","Mud","Soft",NA,NA,1.25880608608155,NA,NA,-1.21737768294908,-1.18685314608442,NA,NA,NA,NA,0.0666852251268062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0259957040821,NA,NA,NA,NA,NA,NA,NA,1.92092778423528,NA,0.0754455703016393,NA,-0.94825945455079,-0.266142719975895,-2.04796534515363,2.44868731681368,NA,-0.218535609166315,NA,-0.192080583365072,0.677123310842035,NA,NA,-0.703615819632683,NA,NA,NA,NA,NA,NA,NA,NA,-0.818912798716673,NA,NA,NA,0.776977571019744,-0.683073903683185,NA,NA,NA,NA,NA,NA,-0.31463553903662,-1.18130721495801,NA,-0.633941263192067,-2.52293377729166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111224886925808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0270637821488311,NA,NA,-0.45202927530439,NA,NA,NA,-0.245921361477193
"5",5,12006,2006,1,235,"201-500",24.95983333,36.84366667,"SouAeg","Mud","Soft",NA,NA,-0.635499309399937,NA,NA,NA,NA,NA,NA,NA,NA,0.289738063132773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.794167289711041,NA,NA,NA,NA,NA,NA,NA,1.57986444584833,NA,0.135570099598109,NA,NA,-0.329102265962692,NA,0.737695990583649,NA,-0.188393836357763,NA,0.479806025308751,1.42808454979284,NA,NA,-1.1277596767444,NA,NA,NA,NA,NA,NA,NA,NA,0.442628790668559,0.749007957238241,NA,NA,NA,0.950356354435869,NA,NA,NA,NA,NA,NA,0.837147329987284,0.840302740364821,NA,0.478842612587066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0272843336652742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520178433169455,NA,NA,NA,NA,NA,NA,-1.5332284189572
"6",6,12008,2008,1,235,"201-500",24.9555,36.8405,"SouAeg","Mud","Soft",NA,NA,-1.99639293277233,NA,NA,NA,NA,NA,NA,NA,NA,-0.196122711173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3207142030333,NA,NA,NA,NA,NA,NA,NA,-0.505189415245836,NA,0.755155310782534,NA,-0.887631733047113,-1.98110929791442,NA,1.13935270315908,NA,-0.818780170142274,NA,1.1813121403709,-1.15630396956599,NA,NA,NA,NA,NA,NA,NA,-0.11494351070936,NA,NA,NA,0.130586472280051,NA,NA,NA,0.365442800282645,0.338169888287246,NA,NA,NA,NA,NA,NA,-1.01154419060548,0.500966395197179,NA,-0.467142325343556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14758725891659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.237662599944399
"7",7,12014,2014,1,235,"201-500",24.95583333,36.84066667,"SouAeg","Mud","Soft",NA,NA,0.173394483073082,NA,NA,NA,NA,NA,NA,NA,NA,0.643696727992252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0807690577029043,NA,-0.719654510784815,NA,NA,-1.76954714642807,1.69249203386387,-0.104078148703431,NA,-0.113157193273366,NA,NA,-1.15067447489344,NA,NA,-0.066201461749384,NA,NA,NA,NA,0.488615151672406,NA,0.633879462529986,NA,NA,NA,NA,NA,-0.429123068923991,-2.99992248391945,NA,NA,NA,NA,NA,NA,-0.778709119399192,-0.506639653906847,NA,-2.0868036812239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428575497541254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12403887090181,NA,NA,NA,NA,NA,NA,2.07611767971656
"8",8,12016,2016,1,233,"201-500",24.95566667,36.841,"SouAeg","Mud","Soft",NA,NA,2.2581901347765,NA,NA,NA,NA,NA,NA,NA,NA,-0.589131297158865,NA,NA,NA,-0.157447444471285,NA,NA,-0.177503599945711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86523143204769,NA,-0.228996296583886,NA,NA,NA,NA,-0.50601159952283,NA,2.28739014535766,NA,-0.101903621598152,-0.846980160019458,NA,NA,-0.565943644933461,NA,NA,NA,NA,NA,NA,0.133803478734896,NA,NA,NA,NA,NA,NA,0.209718075195946,NA,NA,NA,NA,NA,NA,0.217791857805939,-2.60983513009344,NA,-1.25150880219132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.396440121873797,NA,NA,NA,NA,NA,NA,NA,NA,-0.162310029078035,NA,NA,NA,NA,NA,-0.324731720907486,NA,NA,NA,NA,NA,NA,-1.28498967432589
"9",9,22001,2001,2,272,"201-500",24.65783333,36.90816667,"SouAeg","Mud","Soft",NA,NA,0.74373042529083,NA,NA,NA,NA,NA,NA,NA,NA,-0.625174667765111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.362234173180069,NA,NA,NA,NA,NA,NA,NA,2.01057704940962,NA,0.27267556714339,NA,NA,-1.54040302372624,NA,NA,NA,NA,NA,NA,-1.09184049153202,NA,NA,NA,NA,NA,NA,NA,1.37202566239908,NA,NA,NA,0.220094032993122,NA,NA,NA,NA,1.15671519620073,NA,NA,NA,NA,NA,NA,-0.272613255047867,NA,NA,-1.58647690517611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.044783106682007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78754234701847
"10",10,22003,2003,2,279,"201-500",24.6585,36.91566667,"SouAeg","Mud","Soft",NA,NA,0.96073309783568,NA,NA,NA,NA,NA,NA,NA,NA,1.05919042451278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.586501013768585,NA,NA,NA,NA,NA,NA,NA,0.547410285977995,NA,1.74875160947863,NA,NA,-0.87732431921314,NA,NA,NA,NA,NA,1.03305186435594,-0.761743780784353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.298053498866023,NA,NA,NA,NA,NA,NA,-0.249320896234053,NA,NA,0.189872077294215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.895278386545999,NA,1.43166603928442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572330435416211
"11",11,22004,2004,2,280,"201-500",24.65866667,36.91566667,"SouAeg","Mud","Soft",NA,NA,-0.583044575760656,NA,NA,NA,NA,NA,NA,NA,NA,0.344693037160953,NA,-0.779894172181812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05872650333889,NA,0.72891476703849,NA,-0.789361422325418,0.259823513955163,-0.903304953322042,NA,NA,-0.267452739016836,NA,1.19076737708268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.386295625468797,NA,NA,NA,NA,NA,NA,-2.11239832683948,NA,NA,0.60160480588249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048312868605688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33472921024449,NA,NA,NA,NA,NA,NA,0.352818332249833
